pop	N	Fitted_singletons	Fitted_doubletons	Fitted_MAC3_5	Fitted_MAC6_10	Fitted_MAC11_20	Fitted_MAC21_MAF005	Fitted_MAF005_MAF01	block
NFE	56885	2497.81339084389	685.610878198048	611.528327050835	254.357138817095	139.094486400943	142.962414089203	2.71924025258608	45
SAS	15308	1184.98878809473	298.766826843842	270.585409442691	120.456845255064	72.0047588193827	79.0797260524116	8.11333038529819	45
AFR	8128	1008.36057569404	236.517419843462	221.451244032169	107.015228677092	70.3590165036186	75.3887721330138	18.6961528529161	46
EAS	9197	933.153273030825	226.02697817494	207.743565123911	96.3281607535505	60.4503372759637	62.9765882081103	12.6080866188103	46
NFE	56885	3379.44232606499	969.285890062054	866.779991683729	353.382278046145	187.137718511924	177.910854518308	2.78893008407552	46
SAS	15308	1594.05906289925	351.086065834661	311.819080690101	141.452408558908	87.8603755522619	105.07653874038	12.3059306675181	46
AFR	8128	436.977207240763	96.3253824571296	96.4062974646897	52.4607854371295	39.07235534505	50.8166763071538	15.8326935763176	47
EAS	9197	418.12454297762	89.0998150169255	85.5935603334507	44.2405060007969	31.4213835680351	40.2111059085688	10.4012400407571	47
NFE	56885	1609.02257062805	388.856767040859	345.764539141521	151.823870912202	90.0342953638589	113.083493543216	3.38578377917652	47
SAS	15308	657.412297236761	159.290733173256	148.626539248741	70.6263355491447	45.4571231923979	57.466170505008	7.23746923628572	47
AFR	8128	458.887900420724	89.4247554751401	89.1831756860295	49.5967973081165	38.0710503699336	52.1399317844565	17.2633550417588	48
EAS	9197	419.434986220624	93.9599380566973	89.3796674111581	44.9068602599702	30.8639767772299	37.3729122839093	9.03642720233088	48
NFE	56885	1632.57687630875	383.043561837437	343.048647783698	154.231638171712	94.1463805267882	126.76567890187	4.37421027566618	48
SAS	15308	649.705757207565	157.855598025994	150.298240308378	73.715923575599	48.9956219734628	65.7360013061852	8.98548125873211	48
AFR	8128	276.432565044715	62.4697001684445	60.5341456030575	31.2019001769471	21.9791419360293	26.2224818499334	7.39369787393573	49
EAS	9197	246.780335824835	57.0039690462643	54.9639166591882	27.9407312710461	19.3680597092357	23.7220878244163	5.80894599706058	49
NFE	56885	1026.42904868194	239.776195026362	210.696574751418	91.9248302486148	54.4197557266251	68.4553480742475	2.06411079198447	49
SAS	15308	448.671923948886	95.6106221670394	87.1799056549598	41.6515545834184	27.3630570223215	36.3747969725555	4.941964069427	49
AFR	8128	519.640949908621	131.388954127145	127.349296431486	63.3876347345284	42.5597328616306	46.8100225325244	11.9429294040629	5
EAS	9197	568.935213080352	135.613521480578	120.46274250539	53.0977495297128	31.6794863789589	30.5168681009691	5.53109548190161	5
NFE	56885	1799.02020560131	518.647976505471	476.870849144983	204.329367797175	114.294442301421	122.044954050977	2.50912689809533	5
SAS	15308	928.961976889246	209.857335052816	194.53539806584	93.6716834323981	61.6308677222723	81.7271181338288	11.0360847131124	5
AFR	8128	108.345246072688	28.8679526245711	28.0699123881718	13.7731604416774	9.04643232400224	9.57524270301461	2.32711673701354	51
EAS	9197	107.963935741022	22.5967477831419	19.8928288260819	9.04703638115265	5.66750011100942	5.95926972191155	1.21465969655021	51
NFE	56885	406.131816314052	111.425698892022	96.4183856315549	37.8845716545568	19.442206905658	17.4877319612758	0.241727195096747	51
SAS	15308	170.761151685035	41.9889039570771	38.8658099392667	18.129670267022	11.4243833754284	13.8654759948202	1.64735478135083	51
AFR	8128	94.1591325811561	20.8915474303814	19.3079968482145	9.30557151757055	6.14049302480813	6.6426826647054	1.66971879030709	52
EAS	9197	91.3560248434809	16.7266219431374	15.1373364928994	7.43855718901804	5.09368781010711	6.20690042211767	1.52112607630951	52
NFE	56885	313.022505248786	79.7594786479231	71.2113499188987	30.7822974059163	17.8019163154957	20.9611303310151	0.545069741905704	52
SAS	15308	139.988409886218	28.7202216943549	26.4608919868057	12.9806942506312	8.78755653198891	12.3855180912239	1.8230490221928	52
AFR	8128	92.6779082783684	23.7634762972079	21.4101134378276	9.37646563469049	5.49303200664842	4.89798210988087	0.963722235376066	53
EAS	9197	85.2568194473301	15.492122528533	14.8337534346493	7.90585581290697	5.85490709674442	8.07022356304529	2.28477965525243	53
NFE	56885	245.942400341881	82.8546162875551	80.4221348073932	34.7017576908792	18.8119240964499	18.0125627358633	0.275474575692202	53
SAS	15308	141.638061003072	33.0564249327071	31.9644105011155	16.2701238250365	11.2805681453469	16.4444931760537	2.51696959777035	53
AFR	8128	116.071596987231	21.123113787327	18.6882205405062	8.89845972906936	5.9128766576612	6.5406929378531	1.69812228718091	54
EAS	9197	92.6707556790348	15.3332745323716	13.9658808516066	7.07234871666215	5.02021640881634	6.5012861149487	1.71568736098946	54
NFE	56885	383.113077370476	101.641756462965	88.3648440861204	35.6907246090099	19.0268419080572	18.6588155273087	0.320166451158105	54
SAS	15308	183.698037259984	33.0298860553847	27.3716105246634	11.8506001399817	7.18120643038163	8.36150028914786	0.952105919673478	54
AFR	8128	488.823021426383	114.877267991793	110.511640923055	55.6880434941099	38.1923759911474	43.6339424138701	11.6792539781309	55
EAS	9197	471.391228291844	113.532598100155	103.84159614212	47.8665569347332	29.8781722858532	30.8801653906767	6.12199672323066	55
NFE	56885	1615.18213748942	492.108441276865	459.143110442045	195.849146699585	107.619902023204	109.119193862754	1.96718787882293	55
SAS	15308	774.169213080395	198.076586988079	185.604962322514	87.0079460969223	54.8002184215467	66.1361964912808	7.77455046959728	55
AFR	8128	137.887691709933	34.1192417391036	29.5542157902836	12.275017414525	6.83540013526322	5.66426969895752	1.01644697650067	56
EAS	9197	118.937878012101	22.8547952425344	18.8886846970114	7.98496808385638	4.69195322499048	4.49436552496495	0.816674586270041	56
NFE	56885	426.214242213996	114.20592992803	105.431024582893	47.228222013251	28.1343241685121	35.0611043310643	1.01916085941959	56
SAS	15308	197.478196153736	48.7528803830997	45.9065488413425	21.9918589522277	14.2383595899183	18.1608468013162	2.31322927835901	56
AFR	8128	495.756838948892	120.023287981261	112.681096784928	54.0988200499576	35.193916539495	37.0153366577119	8.96495742371923	58
EAS	9197	467.271781200194	103.357139439476	93.3119015199905	43.3887837494469	27.6220467733798	29.6626975537755	6.19395674048286	58
NFE	56885	1614.0999797034	474.58666939092	441.05287936832	190.690192733388	107.281365491255	115.487050608243	2.40872973481536	58
SAS	15308	784.683140366254	170.818543875629	158.784272753787	77.6539527145407	52.1043072320916	71.8899453257659	10.260140971076	58
AFR	8128	351.65101557048	81.7319634115025	79.8699013655802	41.3654531263979	29.195233516926	34.8723839148187	9.83745062882036	59
EAS	9197	309.539277937615	75.6880484442033	73.0285454341173	36.5041295737252	24.7185730606012	29.0405096220704	6.74736305757512	59
NFE	56885	1141.38189114625	346.045283631175	322.724159936105	137.95814493742	76.0868325190016	77.8578135055199	1.43574723422392	59
SAS	15308	547.358312483153	142.051996968079	135.191078850411	64.6747676186364	41.5242208097503	51.8452088233887	6.38916783411482	59
AFR	8128	319.657886977002	88.1708022446785	85.2915903715716	40.8991847532584	26.0804155832893	26.2842480980611	6.00523396936714	6
EAS	9197	352.742925275935	90.3981759499845	83.9926079589927	38.7915999811863	24.0463164791801	24.433184733792	4.72486675097609	6
NFE	56885	1119.04485531626	358.189617049988	336.755398371673	141.22141465595	75.119268710776	70.0953268315378	1.02089086613744	6
SAS	15308	532.567163773924	141.754083999527	136.408526522939	65.8069746578962	42.4667436014229	53.3614234838681	6.62404947766317	6
AFR	8128	1035.67749354419	260.916905337479	250.821714002648	123.357926771904	81.8462613722494	88.4214955560268	22.0828851514845	60
EAS	9197	1070.38021631907	244.264164052705	219.865778130932	100.678150781073	62.8587710097833	65.3013262127058	13.062938828416	60
NFE	56885	3458.55216204226	1038.73050195201	965.463657655375	412.389522287285	227.747457717313	234.272017123177	4.38249556586564	60
SAS	15308	1675.20124657473	399.536160860622	365.642488435783	169.318075693109	106.330055565074	128.676129442977	15.2540727291185	60
AFR	8128	1400.94820682014	323.780831651038	306.843984904492	151.848051859499	102.445420662074	114.286104383471	29.7570684143572	61
EAS	9197	1414.00973589214	350.065083559468	315.99150801067	140.944910031358	84.6649871255564	82.127512622782	14.9894450846468	61
NFE	56885	5218.18110838963	1366.1218509824	1208.56619180377	507.427069923599	282.994752693952	306.327657978669	6.60741592148813	61
SAS	15308	2387.55989846291	557.318061859615	505.955129540826	233.044281464744	145.957827978744	176.173902024443	20.8348076169174	61
AFR	8128	1270.15859816951	278.665232427248	263.899978766587	132.479359020487	91.1666335551146	105.172991475847	28.5385360871222	62
EAS	9197	1197.95884830443	267.704423174686	249.152807348137	121.130115658995	80.5708939163396	92.6503450107639	21.0436133398919	62
NFE	56885	4124.62173067091	1232.6874991189	1139.02183776399	482.493187312427	264.266874140474	267.332497475783	4.81462718906809	62
SAS	15308	1990.60687482991	507.411577010251	465.588619517172	210.970878641891	128.277770346767	145.144128624137	15.547113294022	62
AFR	8128	864.531682699737	210.912357618885	212.749295873576	114.007239250351	82.8452675528968	103.138204043214	30.4790833961203	63
EAS	9197	925.991148304284	214.308283562424	199.630088378866	96.1125979888411	63.0524875502453	70.7476040731133	15.5708971140185	63
NFE	56885	3045.09220367319	856.619261223871	800.606999948771	358.104411060815	211.102868289837	254.50047638636	6.85296075961508	63
SAS	15308	1411.16480411134	354.451455338378	341.430479551679	168.652506021674	112.444845721115	151.211705557652	20.6959980318397	63
AFR	8128	859.22038274521	187.479275078947	172.545888316424	83.0428151503163	54.8197710031258	59.4070045291011	14.9724627029435	64
EAS	9197	844.12739915588	190.031046930185	168.856934663709	76.0807830787937	46.8006318926336	47.5502672671149	9.25361072370786	64
NFE	56885	2783.23452452785	803.897308736405	734.938957033968	311.222663367896	171.738336293961	177.982295594038	3.41599861337979	64
SAS	15308	1364.20618138743	326.807305781019	298.857776784072	137.99536646414	86.3513216601763	103.765339278384	12.175149268521	64
