block	pop	downsample	exp_all	obs_all	exp_syn	obs_syn	exp_mis	obs_mis	exp_lof	obs_lof
3	eas	200	136.631693	125	44.27819	57	88.062	66	4.291503	2
3	eas	500	266.82198	237	86.5123	113	171.9522	121	8.35748	3
3	eas	1000	425.77721	390	137.9368	161	274.4622	223	13.37821	6
3	eas	2000	667.25752	604	215.8646	239	430.2803	353	21.11262	12
3	eas	3070	867.8889	778	280.4854	309	559.771	456	27.6325	13
3	eas	5000	1158.73957	1081	373.486	430	747.844	632	37.40957	19
3	eas	5040	1163.98253	1087	375.1791	435	751.224	633	37.57943	19
3	eas	8128	1528.1534	1440	491.1443	556	986.897	862	50.1121	22
3	eas	9197	1637.9833	1558	526.063	596	1057.968	938	53.9523	24
3	global	10	5.3351555	3	1.730184	1	3.442876	1	0.1620955	1
3	global	20	10.6170332	8	3.435596	5	6.85335	2	0.3280872	1
3	global	50	30.19812	19	9.77999	9	19.47878	9	0.93935	1
3	global	100	60.688725	38	19.64904	17	39.14164	19	1.898045	2
3	global	200	118.953873	86	38.56542	44	76.6669	38	3.721553	4
3	global	500	275.04896	204	88.9776	97	177.3523	98	8.71906	9
3	global	1000	497.37369	376	160.8173	182	320.7114	183	15.84499	11
3	global	2000	836.21968	673	269.5415	299	539.696	359	26.98218	15
3	global	3070	1139.13109	940	366.5379	407	735.46	515	37.13319	18
3	global	5000	1585.2732	1340	508.7706	557	1024.035	763	52.4676	20
3	global	5040	1593.9581	1348	511.522	560	1029.659	768	52.7771	20
3	global	8128	2160.5408	1892	690.619	773	1396.867	1092	73.0548	27
3	global	9197	2335.8931	2037	745.574	823	1510.769	1184	79.5501	30
3	global	10000	2455.8803	2156	783.177	863	1588.664	1261	84.0393	32
3	global	10824	2572.6694	2292	819.668	912	1664.529	1346	88.4724	34
3	global	15000	3116.4881	2808	988.606	1106	2018.362	1654	109.5201	48
3	global	15308	3152.706	2854	999.806	1120	2041.966	1685	110.934	49
3	global	17296	3380.7859	3080	1070.157	1210	2190.566	1815	120.0629	55
3	global	20000	3666.5771	3390	1157.724	1311	2377.09	2020	131.7631	59
3	global	25000	4136.0938	3875	1300.933	1481	2683.722	2326	151.4388	68
3	global	30000	4548.9207	4291	1425.528	1622	2954.014	2593	169.3787	76
