block	pop	downsample	exp_all	obs_all	N_bp	per_kb
28	sas	50	40.121284	50	47499	1.05265374007874
28	sas	100	74.696252	91	47499	1.9158298069433
28	sas	200	135.158871	152	47499	3.20006736983937
28	sas	500	274.28067	288	47499	6.06328554285353
28	sas	1000	453.57251	473	47499	9.95810438114487
28	sas	2000	732.58594	789	47499	16.6108760184425
28	sas	3070	978.55626	1050	47499	22.1057285416535
28	sas	5000	1347.2652	1455	47499	30.6322238362913
28	sas	5040	1353.90692	1467	47499	30.8848607339102
28	sas	8128	1839.71625	2003	47499	42.1693088275543
28	sas	9197	1986.78799	2175	47499	45.7904376934251
28	sas	10000	2094.77744	2306	47499	48.5483904924314
28	sas	10824	2201.22872	2419	47499	50.9273879450094
28	sas	15000	2691.3814	2980	47499	62.7381629086928
28	sas	15308	2725.0255	3017	47499	63.5171266763511
29	sas	10	2.00883775	3	10443	0.287273771904625
29	sas	20	4.0846231	3	10443	0.287273771904625
29	sas	50	10.0069225	10	10443	0.957579239682084
29	sas	100	18.7922633	14	10443	1.34061093555492
29	sas	200	34.131866	33	10443	3.16001149095088
29	sas	500	69.298683	63	10443	6.03274920999713
29	sas	1000	114.445141	107	10443	10.2460978645983
29	sas	2000	184.77812	177	10443	16.9491525423729
29	sas	3070	246.254658	227	10443	21.7370487407833
29	sas	5000	337.9796	290	10443	27.7697979507804
29	sas	5040	339.7555	290	10443	27.7697979507804
29	sas	8128	459.65101	392	10443	37.5371061955377
29	sas	9197	495.96558	416	10443	39.8352963707747
29	sas	10000	522.18174	439	10443	42.0377286220435
29	sas	10824	548.32914	457	10443	43.7613712534712
29	sas	15000	667.3373	587	10443	56.2099013693383
29	sas	15308	675.51513	595	10443	56.975964761084
30	sas	10	5.17908578205821	5	27474	0.181990245322851
30	sas	20	10.5418307985447	13	27474	0.473174637839412
30	sas	50	25.7351611746362	30.3326403326403	27474	1.1040489310854
30	sas	100	48.3498013773389	54.6652806652807	27474	1.98970956778338
30	sas	200	87.8052606553015	90.997920997921	27474	3.31214679325621
30	sas	500	178.379788343035	177.995841995842	27474	6.47870139025413
30	sas	1000	294.462458634096	275.661122661123	27474	10.033527067814
30	sas	2000	475.674980031185	443.989604989605	27474	16.1603554265708
30	sas	3070	634.23921056341	630.650727650728	27474	22.9544561276381
30	sas	5000	871.068521002079	859.970893970894	27474	31.3012627928548
30	sas	5040	875.63401997921	863.970893970894	27474	31.4468549891131
30	sas	8128	1185.31612935551	1155.29106029106	27474	42.0503406963333
30	sas	9197	1279.26423010395	1251.28898128898	27474	45.5444777349123
30	sas	10000	1347.10552883576	1306.28482328482	27474	47.5462190902242
30	sas	10824	1414.76239758836	1362.9501039501	27474	49.6087247561367
30	sas	15000	1722.89992018711	1636.93762993763	27474	59.581336170111
30	sas	15308	1744.09127933472	1666.27027027027	27474	60.6489870521318
31	sas	10	15.5517220881996	9	57595	0.156263564545533
